date,wind_direction,wind_speed,visibility,temp,temp_d,humidity,temp_e,temp_es,pressure,pressure_o
06:00 21.03.2013,СЗ,1,20000,+5.7,-2.2,57,+5,+8,1026.0,1005.2
06:00 21.03.2012,СЗ,1,20000,+5.7,-2.2,57,+5,+8,1026.0,1005.2
09:00 21.03.2021,ЮЗ,3,20000,+13.2,-3.1,32,+12,+20,1025.1,1004.9
03:00 19.03.2020,З,1,10000,+0.3,-2.0,85,-2,-2,1024.4,1003.3
06:00 20.03.2014,З,2,20000,+2.2,-3.1,68,-1,+2,1029.3,1008.2
06:00 21.03.2017,СЗ,1,20000,+5.7,-2.2,57,+5,+8,1026.0,1005.2
00:00 21.03.2024,штиль,0,20000,+4.1,-3.2,59,+4,+4,1026.9,1006.0
03:00 21.03.2015,штиль,0,20000,+2.6,-3.5,64,+2,+2,1026.1,1005.1
12:00 21.03.2011,З,3,20000,+15.1,-4.2,26,+15,+21,1022.9,1002.9
12:00 21.03.2019,З,3,20000,+15.1,-4.2,26,+15,+21,1022.9,1002.9
03:00 21.03.2018,штиль,0,20000,+2.6,-3.5,64,+2,+2,1026.1,1005.1
09:00 21.03.2013,ЮЗ,3,20000,+13.2,-3.1,32,+12,+20,1025.1,1004.9
03:00 21.03.2016,штиль,0,20000,+2.6,-3.5,64,+2,+2,1026.1,1005.1
09:00 21.03.2012,ЮЗ,3,20000,+13.2,-3.1,32,+12,+20,1025.1,1004.9
12:00 21.03.2021,З,3,20000,+15.1,-4.2,26,+15,+21,1022.9,1002.9
09:00 20.03.2014,СЗ,2,20000,+8.2,0.0,56,+7,+16,1029.1,1008.5
03:00 21.03.2024,штиль,0,20000,+2.6,-3.5,64,+2,+2,1026.1,1005.1
06:00 19.03.2020,штиль,0,1000,+0.5,-0.6,92,-1,-1,1025.2,1004.1
09:00 21.03.2017,ЮЗ,3,20000,+13.2,-3.1,32,+12,+20,1025.1,1004.9
06:00 21.03.2015,СЗ,1,20000,+5.7,-2.2,57,+5,+8,1026.0,1005.2
15:00 21.03.2011,З,2,20000,+15.0,-4.9,25,+15,+16,1021.6,1001.6
15:00 21.03.2019,З,2,20000,+15.0,-4.9,25,+15,+16,1021.6,1001.6
06:00 21.03.2018,СЗ,1,20000,+5.7,-2.2,57,+5,+8,1026.0,1005.2
12:00 21.03.2013,З,3,20000,+15.1,-4.2,26,+15,+21,1022.9,1002.9
06:00 21.03.2016,СЗ,1,20000,+5.7,-2.2,57,+5,+8,1026.0,1005.2
12:00 21.03.2012,З,3,20000,+15.1,-4.2,26,+15,+21,1022.9,1002.9
06:00 21.03.2024,СЗ,1,20000,+5.7,-2.2,57,+5,+8,1026.0,1005.2
15:00 21.03.2021,З,2,20000,+15.0,-4.9,25,+15,+16,1021.6,1001.6
12:00 20.03.2014,З,3,20000,+11.5,-0.7,43,+10,+16,1027.4,1007.0
12:00 21.03.2017,З,3,20000,+15.1,-4.2,26,+15,+21,1022.9,1002.9
09:00 21.03.2015,ЮЗ,3,20000,+13.2,-3.1,32,+12,+20,1025.1,1004.9
18:00 21.03.2011,штиль,0,20000,+10.9,-6.0,30,+11,+11,1022.3,1002.0
09:00 19.03.2020,З,3,10000,+2.5,+0.7,88,-2,-2,1026.1,1005.1
09:00 21.03.2018,ЮЗ,3,20000,+13.2,-3.1,32,+12,+20,1025.1,1004.9
15:00 21.03.2012,З,2,20000,+15.0,-4.9,25,+15,+16,1021.6,1001.6
15:00 21.03.2013,З,2,20000,+15.0,-4.9,25,+15,+16,1021.6,1001.6
09:00 21.03.2016,ЮЗ,3,20000,+13.2,-3.1,32,+12,+20,1025.1,1004.9
18:00 21.03.2019,штиль,0,20000,+10.9,-6.0,30,+11,+11,1022.3,1002.0
15:00 20.03.2014,штиль,0,20000,+12.2,-1.3,39,+12,+13,1026.2,1005.9
09:00 21.03.2024,ЮЗ,3,20000,+13.2,-3.1,32,+12,+20,1025.1,1004.9
